"","timestamp","Region1_total","Region2_total","Region3_total","Region1_visible","Region1_hidden","Region2_visible","Region2_hidden","Region3_visible","Region3_hidden","Study_night","Kinkajou_Notes","Video_Notes"
"137",2019-12-16 20:48:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"138",2019-12-16 20:49:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"139",2019-12-16 20:50:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"140",2019-12-16 20:51:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"141",2019-12-16 20:52:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"142",2019-12-16 20:53:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"143",2019-12-16 20:54:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"144",2019-12-16 20:55:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"145",2019-12-16 20:56:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"146",2019-12-16 20:57:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"147",2019-12-16 20:58:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"148",2019-12-16 20:59:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"149",2019-12-16 21:00:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"150",2019-12-16 21:01:39,0,1,0,0,0,1,0,0,0,2,NA,"no video"
"151",2019-12-16 21:02:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"152",2019-12-16 21:03:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"153",2019-12-16 21:04:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"154",2019-12-16 21:05:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"155",2019-12-16 21:06:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"156",2019-12-16 21:07:39,1,0,0,1,0,0,0,0,0,2,NA,"video back"
"157",2019-12-16 21:08:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"158",2019-12-16 21:09:39,1,0,0,1,0,0,0,0,0,2,"moves to main stem probably in r 3 after that",NA
"159",2019-12-16 21:10:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"160",2019-12-16 21:11:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"161",2019-12-16 21:12:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"162",2019-12-16 21:13:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"163",2019-12-16 21:14:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"164",2019-12-16 21:15:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"165",2019-12-16 21:16:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"166",2019-12-16 21:17:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"167",2019-12-16 21:18:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"168",2019-12-16 21:19:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"169",2019-12-16 21:20:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"170",2019-12-16 21:21:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"171",2019-12-16 21:22:39,0,0,0,0,0,0,0,0,0,2,NA,NA
